,id,name,type,rating,image
0,1,seoul jangteo,korean chinese noodle,4.1,https://lh3.googleusercontent.com/p/AF1QipM5qONTu5G9Sw3_zXx_3SMQbkcuwKWRtmXO-g7D=w1080-h608-p-no-v0
1,2,pho basil,vietnamese thai seafood,4.4,https://media-cdn.tripadvisor.com/media/photo-s/0a/2e/46/29/entrada.jpg
2,3,fuji at woc,japanese sushi bars cocktail bars,4.6,"https://images.getbento.com/accounts/983a102b9cb9da866ad06f2c25b52714/mediausers/custom_fields_galleries/images/Wku4TFRySnCqrByuPi2A_IMG_5433.JPG?w=1200&fit=crop&auto=compress,format&h=600"
3,4,myung dong,korean bars,4,https://cdn.vox-cdn.com/thumbor/xJkHANBJslNQUGoY50x2Gj3RNHw=/0x0:4032x3024/1200x0/filters:focal(0x0:4032x3024):no_upscale()/cdn.vox-cdn.com/uploads/chorus_asset/file/10432701/IMG_1262.JPG
4,5,earls prudential,american cocktail bar brunch,4.4,"https://thevendry.com/cdn-cgi/image/height=1280,width=1280,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F22216%2F1662674385739_prudential-events-carousel-6.jpg"
5,6,del friscos double eagle steakhouse,steakhouses seafood american,4.5,https://s3-media0.fl.yelpcdn.com/bphoto/TjVxi3frFDYfyp85bITwmQ/o.jpg
6,7,bartaco seaport,tacos,4.4,https://lh3.googleusercontent.com/p/AF1QipPZ3rrFz3isr5B6pFI2kJmWZX-dfOtMCmmbPtPs=s680-w680-h510
7,8,pho linh,vietnamese,4.4,https://s3-media0.fl.yelpcdn.com/bphoto/kkWbmhUaZFo61hDb3I9GRw/348s.jpg
8,9,chaji creamery,ice cream frozen yogurt coffee tea,4.8,https://www.chajicreamery.com/static/media/ChajiStoreNew.7dfc614e6af0a38d45de.jpg
9,10,matcha cafe maiko,bubble tea ice cream frozen yogurt,4.7,https://s3-media0.fl.yelpcdn.com/bphoto/qxOnyDpfAhbGsDAPpFke4A/l.jpg
10,11,cafe luna ,coffee tea sandwiches breakfast brunch,4.4,https://s3-media0.fl.yelpcdn.com/bphoto/6EYOc1yzKZEcDTQSjlDE7w/l.jpg
